[10:51:42] [2J[HCONTAINER ID   NAME                                                                                                                   CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
[10:51:43] be8816fd5952   peer2.org3.digiprism.com                                                                                               3.17%     123.1MiB / 15.49GiB   0.78%     3.99GB / 3.94GB   15.5MB / 257MB   15
[10:51:43] 9c6f434b7202   peer1.org3.digiprism.com                                                                                               5.14%     121.3MiB / 15.49GiB   0.77%     3.96GB / 3.97GB   16.8MB / 258MB   15
[10:51:43] eb4ce43c7f5f   peer2.org2.digiprism.com                                                                                               5.86%     135.1MiB / 15.49GiB   0.85%     4.02GB / 3.96GB   19.9MB / 293MB   15
[10:51:43] b6587b37528a   peer1.org2.digiprism.com                                                                                               5.99%     129.6MiB / 15.49GiB   0.82%     4.03GB / 4.03GB   20.9MB / 295MB   15
[10:51:43] 4f8adb1d26bd   peer2.org1.digiprism.com                                                                                               4.23%     134.4MiB / 15.49GiB   0.85%     4.01GB / 4GB      20.5MB / 295MB   15
[10:51:43] 25c44cfbdce5   peer1.org1.digiprism.com                                                                                               6.09%     155MiB / 15.49GiB     0.98%     4.11GB / 4.98GB   68MB / 289MB     15
[10:51:43] c0dbbd337451   peer2.org3.digiprism.com.couchdb                                                                                       0.49%     109.2MiB / 15.49GiB   0.69%     52.6MB / 36.4MB   48.4MB / 838MB   35
[10:51:43] 52732ee477c4   peer1.org3.digiprism.com.couchdb                                                                                       3.14%     107.6MiB / 15.49GiB   0.68%     52.6MB / 36.4MB   47MB / 839MB     35
[10:51:43] 631a5cfd7bb5   peer2.org2.digiprism.com.couchdb                                                                                       0.40%     113MiB / 15.49GiB     0.71%     59.6MB / 43.8MB   53.9MB / 980MB   35
[10:51:43] f25f52e5571b   peer1.org2.digiprism.com.couchdb                                                                                       0.51%     113.9MiB / 15.49GiB   0.72%     59.7MB / 43.8MB   49.6MB / 979MB   35
[10:51:43] 8ca35365aa66   peer2.org1.digiprism.com.couchdb                                                                                       0.66%     110.4MiB / 15.49GiB   0.70%     59.7MB / 43.9MB   55.9MB / 981MB   35
[10:51:43] 8b12f7812104   peer1.org1.digiprism.com.couchdb                                                                                       1.25%     113.3MiB / 15.49GiB   0.71%     73.1MB / 74.3MB   60.3MB / 983MB   35
